Row Labels,Average of aritmetic_mean
2006,11.10869461
2007,10.5379328
2008,10.11058529
2009,9.371527306
2010,8.871012917
2011,8.78735286
2012,8.750744537
2013,8.03867178
2014,8.328003725
2015,8.749945284
2016,8.664387641
Grand Total,9.208914833
