Row Labels,Average of aritmetic_mean
2006,0.503837634
2007,0.450125024
2008,0.406659739
2009,0.375059426
2010,0.361533912
2011,0.334570771
2012,0.32207628
2013,0.29233729
2014,0.289146016
2015,0.298438161
2016,0.291984614
Grand Total,0.355638217
