Row Labels,Average of aritmetic_mean
2006,0.032155383
2007,0.032586838
2008,0.031720526
2009,0.030239556
2010,0.032339129
2011,0.03208387
2012,0.032488696
2013,0.030795381
2014,0.03054286
2015,0.030610235
2016,0.030791403
Grand Total,0.031489421
